"upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal"
6821303111,"MOLSON EXPORT ALE NR",0.99866527,35.9880323410034,35.939998626709,12775.751953125,"Oz","MOLSON",1,0
6821303112,"MOLSON CANADIAN BEER",0.80098546,31057.6724433899,23187.6789951324,11025473.9609375,"Oz","MOLSON",1,0
6821306112,"MOLSON LIGHT NR BTL",0.82687283,108467.93117094,84866.206489563,38506116.4511719,"Oz","MOLSON",1,0
6821309112,"MOLSON ICE",0.89452755,131404.304625988,109511.566588402,46648529.0361328,"Oz","MOLSON",1,0
6821309117,"MOLSON ICE N.R.",0.74580222,115557.573834419,82350.3064613342,41022939.6054688,"Oz","MOLSON",1,0
6821309451,"MOLSON ICE BIG CAN",1.0766078,39.9867031574249,43.2000000476837,14195.2796630859,"Oz","MOLSON",1,0
7031000030,"MICHEAL SHEAS VARIET",0.83277678,71.9760656356812,59.939995765686,25551.50390625,"Oz","MICHAEL SHEA'S",0,0
7031033006,"MICHAEL SHEA'S IRS A",0.80545717,34428.5513839722,27273.7091979981,12222136.0576172,"Oz","MICHAEL SHEA'S",0,0
7031037037,"JW DUNDEE HONEY BROW",0.83194321,239.920218467712,199.599995613098,85171.6796875,"Oz","JW DUNDEE'S",0,1
7089701123,"FOSTERS LAGER 6PK NR",1.0185779,82832.4554772377,82616.3772578239,29405522.4199219,"Oz","FOSTER'S LAGER",1,0
7089701331,"FOSTER'S LAGER",1.0792111,70772.3033370972,76027.3524349928,25124167.9731445,"Oz","FOSTER'S LAGER",1,0
7089713123,"JOHN COURAGE AMBER B",1.0992905,1583.47343111038,1730.35994338989,562133.0859375,"Oz","JOHN COURAGE",1,0
7089716123,"FOSTERS LAGER 6PK NR",1.0405651,587.804528713226,611.819954872131,208670.615234375,"Oz","FOSTER'S LAGER",1,0
7089718331,"FOSTER'S LAGER",1.120814,495.668536424637,548.87002325058,175962.333129883,"Oz","FOSTER'S LAGER",1,0
7125000018,"COLT 45 QT",0.37137344,48746.4574615955,18103.1397926807,17304992.4574585,"Oz","COLT 45",0,0
7125000019,"COLT 45 BEER NR BTL.",0.54754722,18303.9129109383,10069.6299598217,6497889.12744141,"Oz","COLT 45",0,0
7143922033,"ROLLING ROCK KING SI",1.0345094,1785.073138237,1834.76000165939,633700.963378906,"Oz","ROLLING ROCK",0,1
7143934500,"ROLLING ROCK PREM BE",0.68673182,317324.484037399,210681.935759068,112650192.982422,"Oz","ROLLING ROCK",0,1
7143934512,"ROLLING ROCK NR",0.737315,1091.63699817657,804.090002059937,387531.14453125,"Oz","ROLLING ROCK",0,1
7143934806,"ROLLING ROCK PREM BE",0.70056695,98055.3945727348,66271.5683641434,34809665.5683594,"Oz","ROLLING ROCK",0,1
7199000007,"COORS BEER",0.63497955,9938.69496107101,6318.77977323532,3528236.83007812,"Oz","COORS",0,0
7199000021,"COORS BEER N.R.BTLS",0.6338774,251.916228294373,159.180000305176,89430.263671875,"Oz","COORS",0,0
7199000025,"COORS LIGHT BEER N.R",0.64060974,281.906256198883,180.629998683929,100076.723632812,"Oz","COORS",0,0
7199000027,"COORS BEER",0.62307131,65378.2593531609,40518.8485937119,23209282.7167969,"Oz","COORS",0,0
7199000028,"COORS LIGHT BEER",0.62487662,125736.188827038,78011.5476870537,44636348.0566406,"Oz","COORS",0,0
7199000041,"COORS BEER N.R.BTLS",0.5919475,2771.07852935791,1555.26993751526,983732.8984375,"Oz","COORS",0,0
7199000047,"COORS BEER",0.54329008,369297.199108124,185797.926333427,131100508.177734,"Oz","COORS",0,0
7199000048,"COORS LIGHT BEER",0.55705023,731336.81570816,378390.77478075,259624573.251953,"Oz","COORS",0,0
7199009001,"COORS WINTERFEST BEE",0.83154064,10706.4398827553,8897.89999246597,3800786.21484375,"Oz","COORS",0,0
7199009501,"BLUE MOON HONEY BLON",1.0122567,1499.50135278702,1512.99994468689,532322.998046875,"Oz","BLUE MOON",0,1
7199009511,"BLUE MOON BELGIAN WH",1.0293378,2531.15829658508,2558.76991081238,898561.220703125,"Oz","BLUE MOON",0,1
7199009521,"BLUE MOON NUT BROWN",1.009241,1133.62302446365,1136.60995864868,402436.186523438,"Oz","BLUE MOON",0,1
7199009532,"BLUE MOON HARVEST PU",1.0641739,1145.61904335022,1215.54996490478,406694.770507812,"Oz","BLUE MOON",0,1
7199009541,"BLUE MOON RASPBERRY",1.0354395,4306.56789445877,4449.29984283447,1528831.65039062,"Oz","BLUE MOON",0,1
7199009561,"BLUE MOON ABBEY ALE",0.99866527,29.9900269508362,29.9499988555908,10646.4599609375,"Oz","BLUE MOON",0,1
7199010001,"COORS BEER",0.6395613,16901.0467381477,10555.5301486254,5999871.55114746,"Oz","COORS",0,0
7199010005,"COORS REG BEER PARTY",0.43872246,7378.71338653565,3211.01996994019,2619443.25195312,"Oz","COORS",0,0
7199010006,"COORS REGULAR LONGNE",0.61695516,140479.286827087,81569.7381739616,49870147.8271484,"Oz","COORS",0,0
7199011600,"COORS BEER",0.46891445,675591.348892212,306942.69645977,239834933.246094,"Oz","COORS",0,0
7199030001,"COORS LIGHT BEER",0.64622825,7418.86647009849,4756.47009336948,2633697.56549072,"Oz","COORS",0,0
7199030004,"COORS LIGHT BEER PAR",0.44837898,8535.07890319824,3814.44995689392,3029953.01171875,"Oz","COORS",0,0
7199030005,"COORS LIGHT LONGNECK",0.62584764,249607.00006485,149148.126585722,88610486.4628906,"Oz","COORS",0,0
7199031600,"COORS LIGHT BEER",0.47291827,1265003.36164093,581894.467842102,449076199.4375,"Oz","COORS",0,0
